,text,likes,dislikes
37,he dude grabbed her head and forced a kiss on her lips. If  your boss or superior at work did this would it not be close to a sexual assault? Total creep. Next time I am celebrating i will have to drop my pants in front of a female colleagues face. Hey its ok I was caught up in the emotion!,0,0
38,"The entire femenine team has stated that they won&#39;t play any events anymore untill the moment Rubiales leaves. <br>That says something about his behaviour and the sentiments between them, does it?",2,0
39,This is how they celebrate😅,0,0
40,"Stop the hysteria. He apologized, end of story!",0,0
41,"He blamed Feminism for what is happening lol <br><br>the guy does this in public, imagine what he did in private...",1,0
42,A lot of potential sexual predators here testing out their own future line of defence.,0,0
43,"This is getting way too political. It makes me think that in some places women don&#39;t even have abortion right, whereas other places, a mistake like a non-consensual kiss (although not sexual at all) could cause international ruckus.<br><br>For some reason, public attention can be easily manipulated when a common enemy is established, sounds familiar?",0,0
44,this man is not going to win this battle. just give up,0,0
45,Stop worrying about this bulls ...,0,0
46,What would have happened if a woman in power had kissed a male athlete.,0,0
47,"No comment, he&#39;s gone mad , what a looser",0,0
48,I would not doubt that her son told her to do something in his honor. There are probably people inside the church feeding her now,0,0
49,It&#39;s probably all about his inflated salary.,0,0
50,How is Luis Rubiales? Trapped with no way out for not following the rules of decorum. 😉 All our actions have consequences and Rubiales&#39; actions have a complicated destiny. 😁,1,0
51,His whole body language was one of passion and emotion  for the team winning yes it was wrong to kiss her in today&#39;s culture but it was a innocent mistake  obviously he can&#39;t win but it&#39;s the media that&#39;s truly wrong here,2,0
52,"This world has gone bonkers!<br>The man kissed a woman during an instance of elation, there is no assault, no crime.",0,0
53,Nice thumbnail,0,0
54,Good!,1,0
55,"This nonsense is a great disrespect towards all the casualties in the Ukrainian war. They see us make drama about this &quot;NOTHING THING&quot; instead of helping them win the war. I can imagine they will blame the emptyheaded Western European women for it!!!! Also, a kiss is an act off love. The guy should get the Nobel Price for peace by showing the world that we need to kiss instead of killing each other.",1,0
56,They are just protecting themselves…a few days ago those same people were clapping for rubiales.  These men are cowards…,2,0
57,Don’t kiss your employees - it’s not very complicated,1,0
58,It is obvious that insanity runs in the family 🤣😊😃😉🤣😃,2,0
59,"The punishment asked for the wrong is way out of proportion. All this should not be just for a kiss, and I am curious what the real motive is?",1,0
60,a hunger strike? audacity most be on sale,1,0
61,"I wonder what went wrong days later,during the kiss the lady was holding this guy so tight and after the kiss the lady was still smiling as she walked away?There is more to this story the world doesn&#39;t know 👀",0,0
62,Didn’t you guys say men and women are equal?,0,0
63,Shes a lesbian with a rather big chip on her shoulder.......once you know this you completely understand ......,1,0
64,Crazy they <b>just</b> won the world cup for their country and one guy couldn’t be bothered to be accountable for sexually assaulting that team.,0,0
65,"I don&#39;t know why women are sexualizing a simple kiss, didn&#39;t everybody gotten kiss by their parents or love ones. And don&#39;t other male soccer players kiss each other? I think the women soccer player did not have a close relationship with the man.",2,0
66,That woman journalist is seriously hot. She looks like a burlesque performer...,1,0
67,"Again, look at his speech and look at the audience.  Watch the breakdown of who is clapping and who isn&#39;t.  I saw one woman half-heartedly clapping and most of the men.  Most of the woman don&#39;t look happy.<br><br>If he&#39;d apologized sincerely when it started... but he&#39;s doubled down and really made it clear he&#39;s a tool.",2,0
68,The split-second discomfort of a female footballer has garnered more news coverage in the UK than the recent conviction of a British female nurse who ended the lives of 7 babies in her &quot;care&quot;...Disgraceful.,1,0
69,How dare you identify his/her gender? If he identify as a woman this wont be an issue. Gender Discrimination 😂 joking joking.,0,0
70,Judas kisses Jesus and the same occurred ..take it as a sign of big things to come ...in public office the will of the people ..he should have stood back and the people may have reinstated him...but he didn&#39;t  and now he has ruined his life unnecessarily  with this stubbornness ...I sympathize of course... however for the sake of comliness and the woman involved they feel belittled and their victory sullied  and they have my support.,0,0
71,"What a joke, the world is crazy",1,0
72,Is all about the euro’s 😮,0,0
73,Don&#39;t we have any real problems?,0,0
74,"Rubiales’ mother, an retired hairdresser, on hunger strike in a church sounds straight out of an Almodovar’s film 😂😂",9,0
75,He is such a misogynistic! He grabbed her face with both hands and kissed her and then patted her behind! With a mother like that! Imagine!!!! Clueless…,1,0
76,Screw non sense feminism!,0,0
77,The Catholic Church called and said to tell you thank you for the diversion from the priests molesting kids scandals😮,0,0
78,Just for all intents and purposes when kissing or attempting to kiss a woman you NEVER grab a woman&#39;s head and plant a kiss on her lips. What you do do is you gently move your head into the direction of her head. Now if she moves her head towards your head you proceed to move your lips gently towards her lips and if she moves more forward then a subtle kiss would be appropriate preferably the first time around on her cheek. As the relationship progresses in a consensual manner more intimate kisses might be contemplated. I would have sworn that Spanish Female football would have given Rubiales at least the basics of female sensitivity training before they sent him off to the World Championship in Australia thank you very much and enjoy your afternoon 🇪🇸🇺🇲,3,0
79,"I think this is a good thing... The Latin community has been putting women in a subservient position for far too long. In the USA if you even talk about touching someone or threaten it, that is sexual assault.... that kiss was completely inappropriate. I do not even like when my family kisses me on the lips!!!",3,0
80,Kiss-gate,1,0
81,Look I&#39;m not an apologist but that girl lifted her leg up whiñw hugging and then the kiss. She didn&#39;t protest or look annoyed. Plus we don&#39;t have the background of their relations outside this small clip. I have a gut feeling she was coerced into saying she was forcefully kissed. How exactly do you consent to a kiss?,1,0
82,Good GTFout,0,0
83,El aprete le salio caro a ese mae😮,1,0
84,He look like JOHNNY SIN,0,0
85,Es increíble e irracional el trato que le han dado a Rubiales .como acusar  un hombre que en un momento de euforia de Alegría por ver cumplido su más alto sueño.es catalogado como un vulgar acosador .debería  darle vergüenza a esa jugadora que de hermoso no tiene nada..mi apoyo a Rubiales y mis felicitaciones..,3,0
86,Yeah the fact this is his mom&#39;s reaction tells you why he thinks he gets to kiss someone without her consent,21,0
87,"I don&#39;t know, after watching the clip this doesn&#39;t look to me like sexual assault at all. Yes he was obviously excided and happy, and possibly has some feelings for the player, but to call this an &quot;assault&quot; of any kind is preposterous. Sometimes things happen to us that we didn&#39;t intend or want, she was not harmed in any way. Calling this &quot;sexual assault&quot; should anger anyone who has actually been sexually assaulted, it diminishes the severity of those experiences.",2,0
88,"Woman from liberated countries kissing soldiers in WW2 without consent, look at the double standard.",1,0
89,"Well, it wasn’t sexual assault, maybe an awkward moment between two adults, but that’s not a crime, unless you’re living in a time of hyper-sensitive woke-ism",3,0
90,his real self showed in front of everyone to see,21,0
91,"This is ridiculous, but this is how it could be solved: Cut off the guy&#39;s head and have the Spanish women&#39;s team use it for a soccer ball in a match in a crowded stadium. After the match is over, the girls can then kiss &quot;each other&quot; and have a lesbian orgy that the fans in the stands can celebrate too. This sounds absurd but this is where this sick, whining, depraved world is headed anyway!!!!!",0,0
92,"Hunger strike? If you raised him properly, we won&#39;t have been talking...",3,0
93,"Allowing your mother to go on a hunger strike so that you win your case is the ultimate proof of what an incredible lack of character you have.<br>Someone who not only lets a weak person solve his problems, but also someone who doesn&#39;t understand it all.<br><br>Just because he allows his mother to go on a hunger strike, this man should be removed from all possible positions and sent on social behavior training.",12,0
94,Behind every man who throws a tantrum there is a mollycoddling mother!!!!!,3,0
95,Keeo an eye out for your girls. These rapist are a dime a dozen.,0,0
96,What if it was opposite? Would be called romantic,0,0
97,it starts with a kiss ..and then ends into resignation,0,0
98,Кажется левые олигофрены будут до второго пришествия обсасывать это происшествие),2,0
99,Old man can&#39;t control himself from kissing infront of camera. Reality just reveal unknowingly,3,0
100,"The translation of this report has some que issues that change all the perspective, relly sad DW",2,0
101,You don&#39;t kiss a person who hasn&#39;t consented to be kissed.  It&#39;s not too hard to understand....made worse by his arrogance.<br><br>The federation members who called for her arrest should leave as well.,59,0
102,"This world gone crazy. In his joy he gave some love to a women by kissing her.<br>So what? I guess it was abuse, right? <br>She was hugging the coach as well....",2,0
103,Just swap the gender men&#39;s team female president...ull see equality 🙌🌚,0,0
104,For me Rubiales became history in the moment as he grabbed his croach publicly on the stage. This  embarrassing gesture speaks for itself and should be taken into account.,15,0
105,"Where did love, kindness and gentleness go?",0,0
106,it&#39;s the way he holds her head that really does it. doesn&#39;t give her option of moving to the side of his kiss.,52,0
107,guy looks like the emobidment of a phallus and you leakers have the slit to complain?,0,0
108,With her hunger strike his mom admits to having failed in raising her son to not treat women like things you can do with whatever you want.,16,0
109,ARE YOU KIDDING ME!!!!! We are in trouble if they are going to prosecute a Spaniard for kissing someone on the lips for being excited at a win for his football team!!! GOOD LORD! What is this world coming to! If the prosecutor doesn&#39;t like it he should quit being a Spaniard and leave Espana!,2,0
110,Rubiales Presidente😅! Now he is the most famous guy in Spain,0,0
111,Why can’t he be fired anyone?Know?,0,0
112,You can&#39;t imagine what can people do for one million salary!,3,0
113,"Guys please just be careful with women who are not related to you, don&#39;t kiss or touch.... Don&#39;t even look....",3,0
114,"⁠So much over reacting, it was a small kiss the the heat of a very happy and exciting moment in sport, his mouth was closed, it was unwise to kiss on the mouth, here in Spain it’s on the cheek normally, how is it sexual assault, it was on a stage in front of millions lol",1,0
115,Mommy goes on hunger strike?! 🤣🤣🤣🤣,2,0
116,The morale of the story: Keep your paws and your lips to yourself.,9,0
117,What 🤯 the world has gone crazy,0,0
118,That&#39;s a mold unveiled in the public eye. There&#39;s nothing he can do but to comply and resign.,0,0
119,"I was a peck for millisecond done out of joy, mutual joy. The reaction to this is insane.",6,0
120,But its ok when JILL BIDEN does it.<br>Double standards! 💯,0,0
121,Spanish government won&#39;t care if the mom dies from a self-imposed hunger strike 😂,4,0
122,"As I stated before, the higher the fly, harder the fall. Keep flying high, Rubi.",35,0
123,"Rubiales is clearly a man and Hermoso is clearly a woman. As strong as Hermoso may be physically as a football player, it is a different thing a man grabbing a woman&#39;s head with his two hands and pulling his face onto hers, unexpectedly for the latter, and a woman doing such an act to a woman or a woman doing such an act to a man. Rubiales, as a man, has superiority of physical strength over Hermoso in this case, and he has superiority over her as of his role as the president of the federation. His act is clearly an abuse of power pursued with lack of discretion. Clearly, such lack of discretion makes a person not apt for any kind of presidency.",7,0
124,"His ego is above everyone, he couldn&#39;t even apologizes from his heart and blamed the girl and called the kiss consensual. I was watching him hugging and lifting up and kissing every girl of the Spanish team one by one, i was wondering when he is going to stop then he started kissing on the lips. What is going on behind the scene over there ?",38,0
125,Everyone should have a mom like that... Til death if must... ❤,6,0
126,Chumma chumma chumma 💋😘😘😘💋,1,0
127,"This guy is just playing games and thinks he&#39;s going to survive this.  The processes are already working, he needs to pack his bags and send his CV to Saudi Arabia, maybe they need a water boy.",2,0
128,She had her arms around him near his buttocks... I hope he calls for her to be removed from the national team for sexual assault as well.,1,0
129,"Give it a rest ffs, its not important",1,0
130,Maldad pura!!! La gente no ve las fotos???,0,0
131,The feminist media demonized&quot; this guy. It&#39;s unfair. Leave the poor guy alone.,1,0
132,"Typical narcissistic injury response by Rubiales. He sends in his flying monkeys to defend his ego and malignant actions and takes no responsibility. Sorry Rubiales, but your mask has fallen off and we can see what you truly are.",15,0
133,Ridiculous.,0,0
134,This guy has to go!,37,0
135,"Yes, all Latin Culture is meaningless; our Germanic opinions are the ones that actually matter, let&#39;s get them all! 🤬<br><br>I mean, this is where you&#39;re leading us now, right? <br><br>War with the French is inevitable, I&#39;ll prepare....",0,0
136,It&#39;s funni to you that the mother at 70 years old is on a hunger strike🤬,3,0
137,All that really matters is what the woman that was kissed truly thinks…,47,0
138,"I invite you, my friends, to see the videos where the whole female squad (including Jenni) is singing, laughing and joking about the kiss. Or Jenni smiling while hugging Rubiales after the event. Or her statements in the radio that same night. But truth no longer matters <br>...",3,0
139,"How horrible that a man exist in sports. Truly a villain and all that, everyone must be sterile and lifeless.",0,0
140,This is truly unfair to this man. People are just overly sensitive these days,10,0
141,"A crime is determined by law.   Different countries have different laws on this type of thing. I suggest defer to them.  Regarding the crime of sexual assult, in NSW Australia, being the state of the women&#39;s 2023 world cup final, the police information suggests that sexual touching which describes unwanted touching of a person&#39;s body by another person. This can include kissing or inappropriate touching of a person&#39;s breasts, bottom or genitals.  A person cannot consent to a sexual act if they:  Only agree to the sexual act because the person is in a position of authority.",24,0
142,"This is all so ridiculous!........What happens when a woman kiss a man all of a sudden, for instance, when women kiss the soldiers that just liberated their village under a war zone?? Did they ask for their consent first ?? What happens with all the innocent and rare human happiness and spontaneous joy of the moment??.....Is our rotten and sick contemporaneous society aiming to kill this beautiful sentiment too??....What´s gonna be for us poor humans in a couple of years??...Are we all gonna keep canceling and killing each other on social media just for sick fun???...Is this all what´s become of us???..Is the Western civilization gonna let wokeism kill its own existence???......In this particular case, I saw the footage over and over again and saw no violence or crime..Wouldn´t a simple apology be enough in order to make it easy for everyone  involved and for our poor intelligences????..........NO, ´cause of course some ideologes are behind of all this..........That´s what they want: divide and conquer, and if they can´t do it, just destroy it!................Poor Western civilization...........Poor us!!!!",3,0
143,Great reporting,0,0
144,This is equivalent to mob justice.<br>What happened to the Courts and legal processes.,0,0
145,"Its a wrap.  Zip him up.  The mere appearance, even in celebration, guilts any chance of him beong vindicated.  Its a matter of days at this point.  Theres too much politically on the line at this point.",1,0
146,He will resign as soon as his agent has negotiated a sweet deal,1,0
147,"&#39;this is a litte kiss&#39;... No that is not a litte kiss. This kiss and his subsequent behavior show how arrogant and hypocritical this man is. He should have immediately appologized to the victim sincerely, but instead, he accused the victim of lying.. This is insane, he is just the person that was continuously lying. In the end, he is a male kissing a female on lips without consent and lying it is consentual. This is just illegal no matter who and where he is.",5,0
148,Who cares about his mother 😅😂 got like 4 years tops,2,0
149,WOKE,0,0
150,"Bald guy just needed to humble himself and go in an apology tour, but no he was defiant and even accused the victim of been a liar. Men in power seem to be dumb",15,0
151,"Are u kidding me all this for a simple kiss, metoo is dumb..",0,0
152,"The world is changing and men do refuse to change with it, suddenly they feel threatened so as you can see under the comment section, they start name calling woman &quot;lesbian&quot; like it is a curse word. It shows the disconnect and misogyny.<br>The excuse I see about Spanish people kissing on each others cheek is another one, he held her face with 2 hand and forced himself on to her That isn&#39;t a cultural thing. Grow up or get ready to be sued.",13,0
153,"Why do these people get to resign, while the rest of the world would have arrested for the sexual assault and fired.  Shocking amount of men defending this man&#39;s actions. You just know that you have to keep an eye on them..",13,0
154,"No Mdm, your son makes decent amount money. That&#39;s all. And with money he can try to wiggle away from anything.",1,0
155,"To the people commenting about her participating in this kiss: Clearly you have never been forced, or been in a position of sexual harassment. This man has been under other scandal investigations due to using money for Orgies as well as neglecting 15 female players when they requested last year for the organization to change their coach : Jorge Vidal as he was having a negative impact on their mental health. It&#39;s really sad to see people commenting about how she consented etc. when the only and ONLY person who should be asked about this is the victim herself - end of. This isn&#39;t a reality show where we can have an opinion on a matter that affects someones life. Its sexual assault,  there is no other way to see it - its clear. Also, a man in this position should NEVER ever exert his dominance in such a way. For those who are commenting here defending this type of behavior as &quot;they are overreacting, it was a celebration&quot; shame on you. People should be held accountable for their actions regardless of the situation. Hopefully this ends with him being fired from the federation. Deplorable.",42,0
156,Russian soldiers raping Ukrainian women. Iran making women wear burkas. The Taliban denying all rights to women in Afghanistan. And people are getting worked up over a bloody kiss that was given in affection? This world is deteriorating by the day.,3,0
157,"So ridiculous! She hugged him and whisked him off his feet and he responded with a celebratory kiss in appreciation of the team&#39;s victory, in response to which she tapped him on the back, so her reaction is OTT feminism!",13,0
158,He clearly assaulted the female player and no consent was involved for him to act the way he did. This can take a different turn if the female player presses sexual assault case against him. Better for him to resign and hope for the best.,14,0
159,"Rubiales is the victim. It is not as if he his had tongue down her throat, just a peck on the lips.",8,0
160,Descendant of a true Karen😂,13,0
161,"He could have salvage his career had he resigned, but his ego won&#39;t let him.  At this point, his career is probably over. All he is doing now is trying to save face and waiting for the inevitable. As for the Spanish federation, they are trying to save themselves bc they think this will appease everyone. I hope the Spanish football federation gets a complete overhaul. Clean house and start over.",67,0
162,Maybe the player is a lesbian,3,0
163,"There was nothing wrong with his actions, you can see he was super excited about the win",19,0
164,Nobody expected the german inquisition to make just a kiss that happened in a celebration look like something terrible. Those who complain should watch the video. Nothing bad happened. This is cancel culture at work.,5,0
165,Good I cant believe people are defending him,13,0
166,Guys you don&#39;t get it in spain everyone kiss even between men&#39;s.<br>Is not a sexual context.. is just the moment and be happy for won it..,5,0
167,"The mob wants blood, we cant stop this, give them Rubiales Head and be done with it.",0,0
168,What an example the mother is setting? She condones her son violating the modesty of girl. I am flabbergasted! What does her catholic faith teach her?,14,0
169,"The coach of the Women&#39;s National Team, Jorge Vilda, should resign because he applauded Luis Rubiales along with other attendees. Jorge Vilda should resign as coach because the World Champions have lost confidence in a person who applauds the acts committed by Luis Rubiales. Jorge Vilda wrote and published a statement in which he rejected and condemned the acts committed by Luis Rubiales, but in reality that statement is cynical since Jorge Vilda does not feel in his heart what he has published. Jorge Vilda is interested in the position and his position as coach of the Women&#39;s Soccer Team because he earns a lot of money. The World Champions are psychologically affected and should not be under the orders of that cynical person Jorge Vilda.",21,0
170,The mother is another manipulator. She&#39;s  another enabler,10,0
171,FIRE THIS PIG,0,0
172,"I seen the Kiss. The woman clearly participated with the kiss. You can clearly see that she did not hesitate or try to push him away, however when you are a man who is coaching women some behaviors should be kept in check. A male coach should not be smacking female players asses, and he should not be kissing them on the mouth to celebrate a win.<br> Coaches should just keep their hands and lips to themselves no matter what sex they are coaching. It seems a bit too far to charge the guy with sexual assault in my opinion. I think it would be more appropriate for the guy to have some kind of therapy for his behavior along with a suspension that will end when he has completed the therapy and left to the players to decide if they want him back after. He probably should resign as the team obviously doesn&#39;t want him back as their coach. At least if he does the therapy and resigns, he might be able to take a job coaching another team.",9,0
173,Just like the male coaches hit their players on the butts. Soon a male coaching women will be fired for slapping their butts. This is ridiculous,2,0
174,Rubiales go get them.,3,0
175,Leave the poor guy alone.,9,0
176,As a male..Shud I prosecute the women who pinched my butt in college?,2,0
177,His current job is finally SEALED WITH A KISS!,7,0
178,damn! a slap on her buttocks could have been the cherry on the cake!,0,0
179,It&#39;s a disgrace the way this man is being treated. He was NOT behaving in a sexual way AT ALL. Who convinced the &#39;victim&#39; to turn on him? There is a lot going on behind this whole saga. My sympathy lies with Mr. Rubiales.,20,0
180,"He did this when he had the whole world’s eyes on him, imagine when he is in a more private setting, acklowleding  the mistake and appologying would have given him some sympathy, the speech loudly refusing to resign certainly buried him, how difficult can be, one doesn’t kiss other woman without a form of consent, in the lips no less! With the eyes of the whole world on him!  Simply an idiot. Deserves not only to be fired, but legally prosecuted… on what world he thinks kissing a woman on the lips is ok, in front of millions of people!",9,0
181,Remembering Brezhnev kissis😂,2,0
182,Feels like I&#39;m watching the wrong hand,0,0
183,BOYCOTT ALL MAN HATING LESBIANS WHO PLAY MENS SOCCER NOW!,7,0
184,Men need to keep their hands to themselves!!,16,0
185,the female player agreed to kiss him. the lips readers said he asked her and she agreed,3,0
0,Oh yes you will,0,0
1,"Enjoy being single ladies! Its stupid scandals like this that explain the data Morgan Stanley uncovered. Over 48% of woman between 25 &amp; 45 will never have a partner, never have children and never get married even of you want to. It&#39;s absurd &#39;scandals&#39; like this that make men wary of relationships and lose trust in women. Enjoy.",0,0
2,En usa hasta lo ponen en la cárcel por 🐖 puerco abusivo,0,0
3,"This little incident has done more for MGTOW than any other. Don’t help women in any shape or form, just think of all the boys who are watching this and seeing bullies in full flow",0,0
4,A guy was comfortable sexually assaulting a woman in public in a country that values machismo and the torture of animals that is bullfighting? Go figure.,0,0
5,"This has nothing to do with the kiss and everything to do with toxic, radical feminism, they should be labelled as terrorists since they wont stop trying to terrorise and bully society into submission",0,0
6,"No, you’ll be fired",0,0
7,"bunch of sissies here, bravo to all who can see through the social and virtue signalling",0,0
8,What needs to happen is that women need to have and run their own competitions. Keep the men and women&#39;s separate so that this doesn&#39;t happen. The women will also be responsible for the finance and all aspects of their competitions.  This will stop any more situations like this.,0,0
9,"What would happen if a woman official grabs and kisses a male football player 😂😀, what would happen then.",1,0
10,As a Spaniard I say England should’ve won.,0,0
11,So dumb. He didn’t rape her. It was a clumsy over exuberant reaction to World Cup victory 🙄 I hope he stays.,0,0
12,"Rubiales shouldn&#39;t resign over this. He is the face &amp; essence of what the <a href=""http://www.youtube.com/results?search_query=%23methree"">#MeThree</a> movement is all about. That&#39;s right, men are making a comeback baby!! Sorry feminists, your MeToo era has finally got some pushback, as we&#39;re manning up. MeThree, as in me, you and my lawyer!",0,0
13,Don&#39;t back down.  Tell WOKE where to go.,0,0
14,"File sexual assault, quit the team and contract and move to other team. I’m sure other team will grab this chance to sympathize victim and get more popularity.",0,0
15,"Told ya, give women power, money, voice it&#39;s the end of the world, all chaos,they love the attention,cats fights, endless debate about nothing,",0,0
16,Good stand your ground .  Be the man,0,0
17,"He made a big mistake of having kissed her on the mouth. Now, she is not a saint because she even posted a video about the case and smiling, happy as hell. I think she has LGBT leanings and likes women. If he were a woman and had kissed her on the mouth, maybe the world would be applauding it as a victory over prejudice.",0,0
18,I   would like   to kiss his bald head.,0,0
19,Much ado about nothing. He shouldn&#39;t resign as his results have been exceptional.,1,0
20,"dont resign man,this is absurd   overreacting of fifa",0,0
21,"why should he resign ? because of yet another me too reach ? nah , he should stand his ground . <br>enough of these narcissistic women trying to take advantage of ACTUAL tragic events happening to women worldwide . ENOUGH !",0,0
22,"Sooo, how about Katy Perry? Did she resign?",2,0
23,"Ohhh get over it at least his not some tranny fuck sake get a grip ,the Spanish kiss everyone",0,0
24,"<a href=""https://youtu.be/DpXxva7M2W4?si=g-RoVrLRpTQQ0jZ2"">https://youtu.be/DpXxva7M2W4?si=g-RoVrLRpTQQ0jZ2</a>",0,0
25,Men in Ukraine are getting their arms and legs blown off in combat - and Snowflakes focus on this kiss. Grow up ffs.,1,0
26,"Good to hear he will not resign, neither should he. These complaining feminists should take out their frustrations on more important issues, move on nothing to see here.",1,0
27,"Jesus H....Talk about going ott with it all.<br>Ok, not the right thing to do, but the guy got carried away with the moment and to crucify him in the way that he is, is ridiculous and they really need to get over themselves and get a life.<br>Talk about &quot;milking it for all it is worth&quot;, ffs.",1,0
28,"Just a different opinion to you guys.<br>I am a Christian care worker, absolutely faithful to my wonderful husband, never lay an eye on another man.<br>One time it happened that I almost kissed my male boss in exactly the same manner as this guy kissed this woman. I was among my colleagues in the build a bear shop toyshop where I worked, and I have just found out that we won the charity collection for puddsy bear, and we got invitation to the live show on bbc. I was so happy, I grabbed my boss in front of everybody, I said to him&#39; I love you&#39;, and I almost kissed him, when the girl next to me grabbed me, what are you doing? It was the boss&#39;s girlfriend. They laughed it off, and it was really an untought act of extreme joy expressed itself. I never realised what I was doing. In full honesty. <br><br>But also the dame thing happened to me, twice in fact. One in a workplace, one on my engagement party in front of everyone. Someone grabbed me, and gave me a big smootch, when a happy news was announced. These were ladies, and I was so shokked, cos it was in very serious work environment, the other happened in front of my family. Oh yes, it happened once in church as well, by a friend, in front of her husband, who is very Conservative. I really don&#39;t think much of this, although I don&#39;t know, but to me it seems that only the innocent extreme pure joy overtook this man, and he didn&#39;t even realise it. I feel for him. We judge him before we asked him. Of course I would hate this to happen to my husband, but this act can really be just joy overtaken the person, and no motive behind it. I know, it&#39;s hard to believe.",0,0
29,Bbc news more triggered about a Spanish guy kissing a spanish footballer ..<br><br><br><br>Than Grooming gang victims .<br><br>Total shxthousery as usual.,1,0
